FIPS,GF_Type,GF_Vuln00,Prob16_00v
48201554403,0,0,0
48201554501,0,0,0
48201554502,0,0,0
48201554600,0,0,0
48201554700,0,0,0
48201554801,0,0,0
48201554802,0,0,0
48201554901,0,0,0
48201554902,0,0,0
48201554903,0,0,0
48201555000,0,0,0
48201555100,0,0,0
48201555200,0,0,0
48201555301,0,0,0
48201555302,0,0,0
48201555303,0,0,0
48201555401,1,0,0
48201555402,1,0,0
48201555501,0,0,0
48201555502,0,0,0
48201555600,0,0,0
48201555701,0,0,0
48201555702,0,0,0
48201556000,0,0,0
48201980000,0,0,0
48201980100,0,0,0
